model_name,latency,qps,latency_variance,memory
mobilenet_openvino,138.12410831451416,83.67269738509235,135.59288074555838,768
mobilenet_openvino,62.55917549133301,63.5407095316412,51.11177778741448,1536
mobilenet_openvino,42.46261119842529,63.51501927369243,44.68712483383271,2240
mobilenet_openvino,32.288312911987305,65.55522919246297,13.88570029088272,3008
mobilenet_tf,217.0889139175415,66.74606358212846,24.388953003228302,768
mobilenet_tf,102.1111249923706,61.797410938623706,10.146971595191992,1536
mobilenet_tf,68.16892623901367,63.21411284295715,8.940693146775395,2240
mobilenet_tf,53.015780448913574,64.14811101520264,9.976945771069516,3008
mobilenet_caffe,221.48711681365967,65.34453581342814,23.04156466427938,768
mobilenet_caffe,104.54285144805908,57.849332175246246,12.150370354133171,1536
mobilenet_caffe,69.8911190032959,63.50776972373874,9.731583363137291,2240
mobilenet_caffe,54.17294502258301,64.01187925532061,7.8315940456835165,3008
ssd_openvino,300.26800632476807,67.6048974585457,197.4945444634528,768
ssd_openvino,139.15588855743408,63.34437961583723,87.9797662298164,1536
ssd_openvino,93.4264659881592,63.90692429030518,81.10928819235623,2240
ssd_openvino,70.56984901428223,51.84159281370359,67.47185922193896,3008
ssd_tf,438.06350231170654,68.84955376680162,18.74988336907142,768
ssd_tf,276.79107189178467,72.9309583525414,13.005291140338898,1536
ssd_tf,186.44647598266604,57.55379415756574,8.474182261116562,2240
ssd_tf,139.54908847808838,63.47251059881112,9.749298312448323,3008
ssd_caffe,514.324426651001,73.90439015075034,40.07152526487367,768
ssd_caffe,204.2569875717163,62.59445419853547,9.514171625822673,1536
ssd_caffe,136.38970851898193,64.25777498567922,6.754836215762716,2240
ssd_caffe,102.7838945388794,63.20860099467037,6.34813313724467,3008
